time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
632356,Queer,0.0,22.094269,30.733774,0.0,0.0,68.66795,409.0,580.0617
834115,Queer,0.0,28.36796,30.118723,0.0,10.556484,53.692513,451.0,562.2805
880972,Butch,42.58112,0.0,0.0,0.0,0.0,59.140522,20.0,577.2132
999168,Butch,42.3496,0.0,0.0,0.0,0.0,59.183575,20.0,551.9211
1186743,Y,29.27539,0.0,0.0,74.51079,0.0,0.0,237.0,593.9793
1912823,Queer,0.0,21.165407,28.971216,0.0,0.0,65.1986,409.0,544.9028
2182932,Y,29.526548,0.0,0.0,73.593285,0.0,0.0,230.0,563.5867
2289693,Butch,41.99584,0.0,0.0,0.0,0.0,61.975594,20.0,528.995
2495517,Queer,11.672286,11.402113,18.542988,37.273514,0.0,41.12637,336.0,562.9054
2735439,Y,34.27227,0.0,0.0,56.784203,0.0,16.573364,162.0,574.4245
2747119,Queer,11.186184,11.917663,19.186771,34.4715,0.0,43.232124,341.0,555.57275
2912264,Queer,0.0,23.321981,29.187517,0.0,0.0,58.96237,425.0,517.97327
3595603,Y,30.590633,-0.06703836,-0.05569434,74.71648,-0.021451335,3.004226,240.0,529.15674
3734621,Butch,36.742954,0.0,0.0,36.63826,0.0,31.63064,94.0,526.66473
3875788,Butch,38.889565,0.0,0.0,0.0,0.0,58.049637,20.0,587.88904
4125005,Butch,39.120056,0.0,0.0,0.0,0.0,57.666706,20.0,582.47156
4229750,Queer,0.0,24.771776,31.056965,0.0,0.0,58.564842,425.0,542.786
4305055,Y,33.27856,0.0,0.0,61.265812,0.0,12.890255,197.0,528.08997
4600225,Butch,37.953495,0.0,0.0,0.0,0.0,57.08028,20.0,522.011
4632488,Butch,35.1617,0.0,0.0,49.817047,0.0,21.41175,143.0,593.63135
4651068,Butch,35.377136,0.0,0.0,50.16035,0.0,21.072262,152.0,559.91693
